Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1290.266	-1505.839	215.5728	1.272132	2.337415	0.632867	0.367133	1.540519
6	-1294.244	-1509.39	215.1466	1.272132	2.309814	0.583937	0.416063	1.853242
12	-1300.635	-1515.851	215.2152	1.289949	2.149285	0.588963	0.411037	1.853242
18	-1306.816	-1521.779	214.9624	1.108041	2.484768	0.576323	0.423677	2.027941
24	-1291.62	-1506.355	214.7356	1.117909	2.134443	0.576323	0.423677	2.288744
30	-1285.499	-1499.615	214.1162	0.9356033	1.90864	0.631299	0.368701	2.86816
36	-1285.26	-1499.416	214.1563	0.9481416	1.351116	0.673382	0.326618	3.068789
42	-1284.908	-1499.617	214.7097	0.9178801	1.299892	0.679409	0.320591	2.778208
48	-1278.057	-1492.288	214.2312	1.056106	2.539384	0.608112	0.391888	2.513482
54	-1276.797	-1491.935	215.1379	1.066773	2.107259	0.608112	0.391888	2.070679
60	-1273.853	-1488.7	214.847	1.191977	2.568597	0.634932	0.365068	2.021712
66	-1291.692	-1506.855	215.163	1.172857	2.281088	0.605739	0.394261	1.919916
72	-1290.383	-1505.622	215.2392	1.027997	1.715495	0.526584	0.473416	2.185852
78	-1292.161	-1507.112	214.9511	1.083895	1.598775	0.5743	0.4257	2.385313
84	-1291.86	-1505.446	213.5856	1.154853	2.108267	0.687597	0.312403	2.985448
90	-1281.751	-1496.735	214.9845	1.124083	1.761914	0.654127	0.345873	2.268551
96	-1290.985	-1504.322	213.337	0.9581441	1.318251	0.735453	0.264547	3.561021
102	-1288.865	-1503.515	214.6496	1.03194	2.522221	0.694577	0.305423	2.269426
108	-1291.259	-1505.71	214.4509	0.9708455	1.91618	0.643133	0.356867	2.639281
114	-1292.506	-1506.315	213.8083	0.7797877	2.067469	0.652783	0.347217	3.090494
120	-1286.045	-1499.674	213.6289	0.7987497	2.067469	0.664773	0.335227	3.185908
126	-1289.119	-1503.177	214.058	0.8592271	1.834663	0.576409	0.423591	2.976926
132	-1290.91	-1504.267	213.3574	0.8205288	1.67184	0.669534	0.330466	3.477184
138	-1283.68	-1497.284	213.6034	0.9231317	2.589848	0.648936	0.351064	2.964161
144	-1278.474	-1492	213.5266	0.817974	1.782126	0.648936	0.351064	3.337012
150	-1288.597	-1501.931	213.3346	0.7977034	1.489625	0.584913	0.415087	3.578674
156	-1302.628	-1515.715	213.0865	0.8331562	1.660892	0.611783	0.388217	3.631811
162	-1314.822	-1530.075	215.2528	1.407475	0.6171247	0.544811	0.455189	2.588765
168	-1295.356	-1511.483	216.1274	1.34114	1.006998	0.541751	0.458249	1.761961
174	-1284.307	-1499.941	215.6337	1.2348	1.31073	0.577754	0.422246	1.98525
180	-1281.725	-1497.265	215.54	1.214112	2.250652	0.643147	0.356853	1.640131
186	-1291.149	-1506.885	215.7364	1.360885	2.206965	0.564805	0.435195	1.401756
192	-1280.003	-1496.014	216.011	1.344002	1.713009	0.585966	0.414034	1.430918
198	-1279.264	-1494.374	215.1099	1.233908	2.400181	0.55359	0.44641	1.872604
204	-1277.66	-1492.094	214.4339	0.9645782	2.652765	0.611545	0.388455	2.409727
210	-1281.511	-1496.936	215.4257	1.257404	2.496785	0.646247	0.353753	1.600168
216	-1281.687	-1496.396	214.709	1.257404	1.109415	0.616674	0.383326	2.672154
222	-1295.006	-1511.284	216.2785	1.329186	1.100201	0.61681	0.38319	1.599054
228	-1283.512	-1499.321	215.8083	1.329186	2.339798	0.570719	0.429281	1.314218
234	-1284.744	-1500.512	215.7681	1.210476	1.948252	0.564142	0.435858	1.601413
240	-1301.883	-1517.489	215.6056	1.274793	1.932726	0.644713	0.355287	1.678751
